Negative,Positive
Disappointed that I did not get #LukesDiner coffee this morning  so I got Weekend coffee from @thejoule instead. That's a win in my book. Ã¢Ëœâ€¢Ã¯Â¸ï¿½,Super excited to see @thejoule on @HotelTonight! Now  spontaneous travelers have another amazing option for same day bookings in Dallas!
Walked to get my @weekendcoffee1 @thejoule and I'm surrounded by #fashionbloggers never felt so plain #CasualFriday,@thejoule From the A8L car service to the perfect Gibraltar your staff is worldclass. Thank you. #gamerecognizegame
@blonderaider21 @thejoule That's terrible. I hope no one stole it or joyriding,@thejoule We at Feast Gold would love to speak with you about our luxury lifestyle card #offers @FeastGold_HQ
@blonderaider21 @thejoule That is super not awesome!,@CBDProvisions @thejoule this looks fantastic!
Dirty pool  80s bathrooms  terrible service and ignorant staff. Literally the opposite end of the hotel spectrum from @thejoule last year.,@thejoule is a fine hotel... pretty  courteous  friendly staff... functional and pretty interior design... thoughtful/exclusive retail.
@thejoule WORST CUSTOMER SERVICE EVER!!!,@americanspamag @thejoule looks lovely I could spend the day there!
@eatstyledallas her voice is worse than nails on a chalkboard @shakira @thejoule,@americanspamag @thejoule Beautiful!!!!
Wish I'd been able to see the @thejoule eyeball a wee closer. I wanted to touch it so bad!! pic.twitter.com/WQWwf5bRAk,@americanspamag @thejoule love seeing this!!!
12 outrageous swimming poolsÃ¢â‚¬â€including this one at @thejoule hotel that's truly over the top. forbes.com/sites/forbestrÃ¢â‚¬Â¦ pic.twitter.com/Rjgjbdj4wT,Perfect Honeymoon #Hotels! ow.ly/vqWQz @ThegHotel @thejoule @fullertonbay @TheLittleNell
Can't wait to explore Dallas.. but it's a problem when you're staying at @thejoule & never want to leave its so chic pic.twitter.com/OTHdi90ppt,Thanks for the mention! RT @journeyPod: Perfect Honeymoon #Hotels! ow.ly/vqWQz @ThegHotel @thejoule @fullertonbay @TheLittleNell
@1DalM @thejoule @BigDHistory @FritzWheels let me restate this - makes no GOOD sense,@thejoule thank you for taking care of me this weekend ~ your entire staff was ever so kind  greatly appreciated! pic.twitter.com/e1XZFoTPjX
Very disappointed in @thejoule  long day no restaurant open & 24 hour in room dining only works if someone answers the phone...Uggh!,Very nice words about a very nice place! @thejoule #TeaatTaschen #luxury #Dallas sothentheysay.com/tashen-tea-jouÃ¢â‚¬Â¦
@DFWBBQ @thejoule you guys should tweet some pics of the 100 year old buildings your tearing down. Not happy today with the city of Dallas.,A hotel to enjoy the Dallas arts scene Ã¢â‚¬â€œ inside and out @thejoule fw.to/W1fpcAk #dallashotel #boutiquehotel #lifestylehotel
Casual Friday never looked so good #isabelmarant #pierrebalmain #trafficla #thejoule @ Traffic LosÃ¢â‚¬Â¦ instagram.com/p/yNK4CShaL2/,Did you know that @thejoule has these beautiful mosaic tiles they've preserved in their front lobby? I love getting to know the real story.
If you want to spend a bit more  you CANNOT go wrong with @thejoule (err merr gerrd  amazing hotel) or The W!,@thejoule Kudos to the Joule for their fantastic pamper your pet package! #pamperyourpet #caninespecials #pets #travel
Was @thejoule booked @BacheloretteABC? Because the Hilton Anatole is pretty bad.,@christopherwynn @thejoule thank you. We are looking forward to the future project!
@BrianAmlani @thejoule might have to do that tomorrow night! Too bad you guys weren't out here this week too! #baamanagement #chideo #hustle,@thejoule impeccable first night. Great service in all areas. Loved my wine surprise. Thank you. #service
We regret to inform you that your city has been destroyed: share.d-news.co/EQ7PNQh via @marklamster #dallas // @thejoule,What a great night thanks @ellemagazine @3DWHITE thejoule #dallas #ellemagazine #bloggers instagram.com/p/mhBgFljPBN/
Just got to @thejoule in Dallas for anniversary. Room is awesome  but so bummed to be across the street from loud constant jackhammering,Enjoyed some free #gelato samples at the #eye sculpture across from @thejoule. Now to #win!Ã¢â‚¬Â¦ instagram.com/p/mf3wf6EjD4/
Just checked into @thejoule They get me. I am never leaving.. #tequilaocho #cbdprovsions #dallas pic.twitter.com/FmwaGxxP0X,@thejoule awesome view of 'The Eye' #dallas pic.twitter.com/vk777LpBcf
"At @thejoule bar w/ @SamMerten  where out-of-town country singer just asked  ""Why are roads in such bad shape? Y'all refuse to raise taxes?""",A spa sleepover at ESPA @thejoule Dallas sounds like a fabulous idea to us snobessentials.com/2014/08/espa-gÃ¢â‚¬Â¦ pic.twitter.com/xBv7jjuHVm
@CBDProvisions @thejoule A little disappointed w/foods & services tonight. Things changed after few months  too bad! pic.twitter.com/rLSocjIIqV,@thejoule I will be seeing you tomorrow! Can't wait to stay in your lovely looking hotel!
@thejoule so incredibly disappointed in my experience and your lack of concern of theft in your hotel!,Casual Friday never looked so good #cdgplay #trafficla #thejoule @ Traffic Los Angeles at The Joule instagram.com/p/vG7iWFBaCl/
The music in the hallways at the #saa19 @JWMarriottATX is quite loud! Bit distracting while in sessions and making it harder to talk in between them.,Amazing dinner last night at The Joule hotel's CBD Provisions. Delish. .. #pigface @thejoule @ CBDÃ¢â‚¬Â¦ instagram.com/p/kKtA3swBdh/
"Would love to reach out to you to talk about this more and hear your thought process on why you advocate for this law. We all want to help, but there must be a limit before itÃ¢â‚¬â„¢s just encouraging and enabling bad behavior.",Another gorgeous Wedding @thejoule congrats Bethany and Dean. pic.twitter.com/RctJEB1oMq
"A taste of California madness in Texas.Worked out great there,what could go wrong?",Having so much fun with them at the @thejoule penthouse  Å¸Ëœâ‚¬ thanks to @RGrundenJR pic.twitter.com/4QuzgQtQ5R
This is awesome Austin is. IÃ¢â‚¬â„¢ve never heard of that place and IÃ¢â‚¬â„¢m sure itÃ¢â‚¬â„¢s amazing.  ThereÃ¢â‚¬â„¢s a bubble in great bbq places in Austin and when it pops weÃ¢â‚¬â„¢ll have bbq sauce running in the streets.,Just had the most lovely experience with the front door staff @thejoule making sure I get where I need to be. #dallashospitality
"Good news everyone free rooms outside the @JWMarriottATX! Just pitch a tent outside and bring all your stuff. This is 100% legal according to new Austin city ordinance. Lived on this block for 6 years, never a tent till today. #austinhomeless @MayorAdler @ATXPOA @KXAN_News pic.twitter.com/KRtrLzfa5X",Ooh la la! How beautiful is @thejoule ballroom and our white floor under @beyondLD lighting? Thanks  @karlischphoto! pic.twitter.com/GFLKYc47YJ
@MarriottBonvoy as a Platinum member IÃ¢â‚¬â„¢m disappointed to receive the email about not being able to use my Suite Night Awards for my trip to @JWMarriottATX tomorrow. I spoke with the hotel and they told me Ã¢â‚¬Å“they are not very busy this weekendÃ¢â‚¬Â. #disappointed,Just arrived in Dallas  greeted by a friendly chauffeur and on my way to thejoule for some lunch.Ã¢â‚¬Â¦ instagram.com/p/t5giqvpuFV/
You suck today day JW Marriott @JWMarriottATX an hour wait for pancakes and burger is poor service at McDonalds much less a JW. Ã¢â‚¬â€œ at JW Marriott Lobby Bar,Just arrived in Dallas  greeted by a friendly chauffeur and on my way to thejoule for some lunch.Ã¢â‚¬Â¦ instagram.com/p/t5girLpuFW/
"""You're doing it wrong."" You know what else is a problem? III Forks @ Chavez & Lavaca, running a 'spacious' valet operation in the bike lane  pushing cyclists into traffic in a mere moment, in a most utilized and dangerous entrance to the city. Conveniently adjacent to City Hall.",High Tea with friends yesterday. So lovely. #teaattaschen #thejoule #grateful thejouledallasÃ¢â‚¬Â¦ instagram.com/p/vJSSplNrNn/
"Officially one of those people that uses the @ATX_311 app. Cause this crap is getting old Ã¢Â¬â€¡Ã¯Â¸Â  Get your deliveries in order @JWMarriottATX - not a good look, esp when a cyclist or scooter-user eventually gets hit.  pic.twitter.com/B2k44wXowt",I LOVED exploring @thejoule for @forbestravelguide ow.ly/sqwGe It's chic  sexy  historic  and modern... with #fancydranks  too!
"The issue seems to be common in Marriott hotels, where the captions do not work at all or need to fiddle with html and other settings onside of TV to work. I have sometimes demanded a replacement TV or new room if it does not work.",Thank you @thejoule for taking amazing care of our guests! #DallasRules #HomeTownProud #JouleRocks
Dear @JWMarriottATX  as a Deaf customer I appreciate access provided with the phone and emergency lights. But your closed captioning did not work without effort from staff and technicians. I hope this is not a hotel wide problem and encourage you to investigate.  @marriott #ADA,Thank you to @thejoule for donating a night's stay to our Employee Giving Campaign! All staff donated and we reached 100% participation!
Coming into @JWMarriottATX with my partner for a conference. Had an opportunity to meet my sisters after #50 years of searching. Wrote the #Generalmanager a letter stating how important this was to me. Completely disappointed with @Marriott,I may have had too many @tiffstreats cookies earlier  about to make up for that w/ an awesome core fitness class at @thejoule vital fitness!
"Sadly, staying at the @JWMarriottATX, I have to choose between using the A/C to stay cool but suffer an incredibly loud droning sound; or keep the A/C off so I can concentrate but suffer because the room is so hot and muggy. #SXSW19",@thejoule while I'm ranting  your widescreen tv settings are wrong and the image doesn't fill the screen. Love your hotel otherwise.
We sincerely appreciate your feedback and have followed up with the Corner team regarding the noise. Please dm us if we can assist with anything else and hope you enjoy the rest of your visit!,Amazing event this evening. Thanks YLang23. @thejoule instagram.com/p/mlyuy6ExoN/
"After 2 trips to the front desk for my deactivated key card, I realized it was my broken lock. The team at @JWMarriottATX responded quickly and fixed.   I later returned to my room to find this hand written note ...  #CustomerService #CustomerExperience #jwmarriott pic.twitter.com/OMPIw2p57V Ã¢â‚¬â€œ at JW Marriott Austin",Had the best visit @thejoule for #JEN14. Unique art everywhere! Helpful staff that GENUINELY seemed to care that I enjoyed my stay. Kudos!
Making time for #wellness (proudly wearing my WomenÃ¢â‚¬â„¢s Strength Coalition @prosemicolon_ tee) at #EAST2019 - never saw a hotel gym with a rack before!  Ã°Å¸ËœÂÃ°Å¸ËœÂ@JWMarriottATX #squats #gwpl pic.twitter.com/5Fl5d7IFG5,Huge thanks to @thejoule for donating these $150 value vouchers to be auctioned off at our Grand Opening on Oct 10th! pic.twitter.com/6xaTof6MgR
IÃ¢â‚¬â„¢ve been a #MarriottRewards member for more than 10 years @Marriott. It seems like their customer service gets worse every year. my stay hasnÃ¢â‚¬â„¢t even begun at @JWMarriottATX yet and IÃ¢â‚¬â„¢m already wishing I would have booked at another #ATX hotel for #NYE2019 Ã°Å¸Â¤â€,Located in the @thejoule  Midnight Rambler serves some of the best drinks in town. d-m.ag/1L4tCRV pic.twitter.com/ISBbLj4Ss4
"A special thanks to @JWMarriottATX @JWMarriott - we were down on our luck after a horrible incident, but you did your best to make things easier for us - your customer service is top notch and you have wonderful people working for you. Thanks for your generosity. Means a lot.",Amazing stay for work event @thejoule Dallas. I loved it and so did my guests. Highly recommend! Need non-work weekend there
"Due to the inclement weather forecast for tomorrow night, we regret to inform you that we must cancel the Day of the Dead Dance Party.  We are looking at future dates to reschedule anÃ¢â‚¬Â¦  https://www.instagram.com/p/BpktmSolQ4q/?utm_source=ig_twitter_share&igshid=h557kh35xi1kÃ‚Â Ã¢â‚¬Â¦",Happy Hour @thejoule #twitapart #nm @ptrikha28 @kfedak @maggiekishibe pic.twitter.com/L0GLDcA6aS
Oh wow!  ThatÃ¢â‚¬â„¢s terrible. I hope that JW does the right thing and takes care of their customer. Lose the battle to win the person.,Here's a delicious write up of our wholesale partner in Dallas  Americano at @thejoule buff.ly/1QcqQzr
Not working and then finding footage 30 minutes after?  IÃ¢â‚¬â„¢d start checking staff if I were you. Check CL and local pawn shops too. Happened to a friend recently and it was a pain to get them back.,@thejoule Thanks for a lovely Dallas experience during #Otomtg15. Outstanding hotel  excellent service.
Terrible,Yoga at @thejoule's Vital has been a great start to the new year so far. Even got my modern dance technique complimented today! #stillgotit
Ground yourself in local inspiration for #InternationalCoffeeDay this year - explore an Austin coffee spot you have never bean to before! https://bit.ly/2N8qxb8Ã‚Â ,The Design Trust team had a great time staying at @thejoule! #DesignTrust @dalartsdistrict #Dallas #design pic.twitter.com/blrwlX75Cu
Never underestimate what it takes behind the scenes to make things happen. Thank you to those behind the curtain! @JWMarriottATX #WateReuse18 pic.twitter.com/bLMkmIJsXo,Heading to #Dallas? We recommend staying at @thejoule! Winter snowball fights & luxury await. neverbeen2.com/?p=1800 #traveltuesday
"ItÃ¢â‚¬â„¢s never too early to start making plans for the FDCC Winter Meeting. Be sure to check back for updates as we prepare for #Austin in March, staying at the beautiful @JWMarriottATX  http://bit.ly/2wPmE5FÃ‚Â  pic.twitter.com/KYDqp2w86t",How fun! RT @thejoule: Thanks to everyone who came out to enjoy the snow day with us at The Eye! #eyeatthejoule fb.me/3yqCWE2jb
@JWMarriottATX @JWMarriott: Thank you for sending someone up to clean the moldy/mildew from my shower. However this is a failure for your housekeeping department that should never occur. #aasc is spending too much $$$ for its participants to have to experience this #notacceptable pic.twitter.com/X6OD1q3zvO,Make a serious splash in these stunning hotel pools bit.ly/1Iwy9hD @DuJourMedia cc: @thejoule @oppositehouse pic.twitter.com/2UTf9JcC3S
@JWMarriott @JWMarriottATX In my yrs of traveling I've never experienced a hotel w/ 24 flrs only having ONE ice station to service ALL guests. After descending 19 flrs to the 5th for station I found both machines empty and the personal cooler fill chest almost so. So inconvenient,@IAmSophiaNelson @thejoule glad you liked the hotel the staff is great! Especially Zule!
"Challenge to Austin area hotels to help avoid rolling blackouts: please raise thermostat to 82Ã‚Â°F+ to 10,000+ vacant rooms during heat wave! DonÃ¢â‚¬â„¢t forget @austinenergy rebates  https://savings.austinenergy.com/rebates/commercial/offerings/cooling-and-heating/guest-room-controllerÃ‚Â Ã¢â‚¬Â¦ cc: @JWMarriottATX @FSAustin @VisitAustinTX @AustinChamber @MayorAdler",@thejoule I enjoyed my stay at your beautiful hotel! Great staff too! Thank you @WomenThatSoar pic.twitter.com/fm4TILlU3G
"@JWMarriottATX   Came to Austin for the weekend, staying at JW Austin!  Data systems down, not able to check in.    Finally got into room after a 2 hour wait!  Still no keys, have to be escorted to my room.  Employees doing well with this bad situation......",@FSD_SCOOPDAILY had a fantastic time last night @thejoule surrounded by friends and fantastic #fashion! pic.twitter.com/peu4avZ36E
